name,tagline,topic,description,subscribers,frequency,link
Daily Headbänger,We Find All The News Fit To Rock. You Headbang.,Music,We Find All The News Fit To Rock. You Headbang.,0,daily,https://dailyheadbanger.com/
Beautiful Scoop,"The latest in tech, served short and sweet.",Tech,"The latest in tech, served short and sweet.",0,daily,https://beautifulscoop.substack.com/
Founder Club,Case studies & stories from successful founders.,Business,Case studies & stories from successful founders.,0,weekly,https://www.founderclub.com/
Discovery Dose,"Become smarter, one dose at a time.",News,"Become smarter, one dose at a time.",0,weekly,https://www.discoverydose.com/
The Recruiting Life Comic,A Whimsical view of the world of work to educate and entertain.,Comedy,A Whimsical view of the world of work to educate and entertain.,0,weekly,https://sendfox.com/jimstroud
citreae,Get smarter about citrus in 3 minutes.,News,Get smarter about citrus in 3 minutes.,0,weekly,https://citreae.com/
JourneyCasts,"Ruminations about the outdoors, writing, literature &amp; more.",Lifestyle,"Ruminations about the outdoors, writing, literature &amp; more.",0,weekly,https://arniesabatelli.substack.com/
GameDev&amp;rsquo;s Journey,Game development is tough. Let’s make it easier.,Development,Game development is tough. Let’s make it easier.,0,weekly,https://gamedevsjourney.substack.com/
Video For Growth,Stand out with advanced video marketing insights.,Marketing,Stand out with advanced video marketing insights.,0,weekly,https://vidico.com/video-for-growth-newsletter/
MarketingFutureS,"Impact, Strategies, Sustainability, Trends & Start-Ups.",Marketing,"Impact, Strategies, Sustainability, Trends & Start-Ups.",0,weekly,https://marketingfutures.substack.com/
Some Other Dad,Unpicking the chaos of fatherhood &amp; issues affecting dads.,Parenting,Unpicking the chaos of fatherhood &amp; issues affecting dads.,0,weekly,https://someotherdad.substack.com/
The Saas Admin,Practical tips for IT or anyone managing modern SAAS apps.,Tech,Practical tips for IT or anyone managing modern SAAS apps.,0,weekly,https://thesaasadmin.co/
So Where Next,"The best of travel news, inspiration and trends.",Travel,"The best of travel news, inspiration and trends.",0,weekly,https://sowherenext.beehiiv.com/
Bearded Chef&amp;rsquo;s Bulletin,"Get one recipe, playlist, conversation starter and more.",Lifestyle,"Get one recipe, playlist, conversation starter and more.",0,bimonthly,https://beardedchef.org/
momentum,"Curiosity driven learning: I discuss global issues, science and music.",Science,"Curiosity driven learning: I discuss global issues, science and music.",0,weekly,https://withmomentum.substack.com/
Think &amp; Move,"On being mentally strong, creatively fulfilled &amp; physically active.",Lifestyle,"On being mentally strong, creatively fulfilled &amp; physically active.",0,weekly,https://thinkmove.substack.com/
CPU time,"Processing tech, growth, and creativity.",Product,"Processing tech, growth, and creativity.",0,weekly,https://cputime.substack.com/
Ariyh,3min practical marketing insights from the latest science.,Marketings,3min practical marketing insights from the latest science.,0,weekly,https://ariyh.com/
Stockbsessed,Shorten the learning curve for understanding the market.,Business,Shorten the learning curve for understanding the market.,0,weekly,https://stockbsessed.substack.com/
The Daily Lift,Using science-backed motivation methods to grow.,Productivity,Using science-backed motivation methods to grow.,0,weekly,https://www.thedailylift.co/
FinTech Fusion 💸,The ever-changing world of technology and finance. ,Finance,The ever-changing world of technology and finance. ,0,weekly,https://www.fintechfusion.io/
Visionary Fuel,Leadership strategies &amp; tools you can’t get anywhere else. ,Growth,Leadership strategies &amp; tools you can’t get anywhere else. ,0,weekly,https://www.truenorthvisionaries.com/newsletter
Market Hedwig,The latest financial news in 5 minutes.,Finance,The latest financial news in 5 minutes.,0,weekly,https://www.markethedwig.com/
The G Files,"Actionable insights &amp; ideas on life, business &amp; wealth.",Business,"Actionable insights &amp; ideas on life, business &amp; wealth.",0,weekly,https://thegfiles.beehiiv.com/
Findings of a Designer,Essential resources &amp; tools for junior UX designers.,Design,Essential resources &amp; tools for junior UX designers.,0,weekly,https://findingsofadesigner.substack.com/
Being Earthbound,"The edge of psychology, embodiment &amp; permaculture.",Lifestyle,"The edge of psychology, embodiment &amp; permaculture.",0,weekly,https://beingearthbound.substack.com/
8AM,One quick read to inspire and enlighten.,Finance,One quick read to inspire and enlighten.,0,daily,https://get8am.com/
The Em(erald) Dash,A newsletter by author Garrett Francis.,Books,A newsletter by author Garrett Francis.,0,daily,https://emeralddash.substack.com/
The Daily Startup,One hot startup featured daily in your inbox.,Startups,One hot startup featured daily in your inbox.,0,daily,https://startuptofollow.substack.com/
The AI Week,Everything AI.,AI,Everything AI.,0,weekly,https://theaiweek.substack.com/
Happy Habits,We simplify &amp; illustrate the world&rsquo;s most powerful habits.,Lifestyle,We simplify &amp; illustrate the world&rsquo;s most powerful habits.,0,daily,https://www.happyhabits.art/
Col d’Azur,What you missed from sports &amp; travel.,Sports,What you missed from sports &amp; travel.,0,weekly,https://coldazur.substack.com/
International Intrigue,The day&rsquo;s most important global news &amp; analysis.,News,The day&rsquo;s most important global news &amp; analysis.,0,daily,https://www.internationalintrigue.io/
NoCo Fishing News,Fishing information about Northern Colorado.,Sports,Fishing information about Northern Colorado.,0,weekly,https://nocofishingnews.substack.com/
As It Were,Obscure reflections on life and place.,Lifestyle,Obscure reflections on life and place.,0,weekly,https://nisly.substack.com/
Marketing Matters Weekly,The best 5-7 links with actionable marketing ideas.,Marketing,The best 5-7 links with actionable marketing ideas.,0,weekly,https://valchanova.me/newsletter/
Five Good Things,Get 5 quality pieces of culture I&rsquo;m enjoying.,Music,Get 5 quality pieces of culture I&rsquo;m enjoying.,0,weekly,https://lexonthedecks.substack.com/
TLDR,3 minute reads on what REALLY matters in Bitcoin.,Bitcoin,3 minute reads on what REALLY matters in Bitcoin.,0,weekly,https://tldrbtc.substack.com/
The Daily Uncover,"Thoughts on business, investing, and other relevant topics.",Business,"Thoughts on business, investing, and other relevant topics.",0,daily,https://thedailyuncover.substack.com/
Linux Stans,Linux content straight to your inbox.,Tech,Linux content straight to your inbox.,0,weekly,https://linuxstans.com/newsletter/
Torture Chamber Small Talk,Making fun of culture.,Comedy,Making fun of culture.,0,weekly,https://torturechambersmalltalk.substack.com/
Email Production,Resources &amp; tools for building great emails.,Marketing,Resources &amp; tools for building great emails.,0,monthly,https://blocksedit.com/newsletter/
Just One More Thing,"Stories, opinions, rants, and lols by Jo Usmar.",Mental health,"Stories, opinions, rants, and lols by Jo Usmar.",0,weekly,https://jousmar.substack.com/
FundrCap.,Latest news &amp; analysis on funding and VC in AI.,AI,Latest news &amp; analysis on funding and VC in AI.,0,weekly,https://fundrcap.substack.com/
Footprints of Titans,"The intersection of business, science, and philosophy.",Philosophy,"The intersection of business, science, and philosophy.",0,weekly,https://willbradley.substack.com/
Everyday Automations,Exploring changes in technology and automation.,AI,Exploring changes in technology and automation.,0,weekly,https://www.everydayautomations.com/
The Strategy Toolkit,Get smarter about strategy.,Business,Get smarter about strategy.,0,weekly,https://thestrategytoolkit.substack.com/
